shelfmark,iiif_url,url,orig_shelfmark
Bodl. MS syr. c 15 (P)/2,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-c/ms-syr-c-15-p-2.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_220#MS_Syr_c_15_P,MS. Syr. c. 15 (P)/2
Bodl. MS syr. c 17 (P)/1,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-c/ms-syr-c-17-p-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_222#MS_Syr_c_17_P,MS. Syr. c. 17 (P)/1
Bodl. MS syr. c 16 (P)/1,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-c/ms-syr-c-16-p-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_221#MS_Syr_c_16_P,MS. Syr. c. 16 (P)/1
Bodl. MS syr. c 18 (P)/2,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-c/ms-syr-c-18-p-2.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_223#MS_Syr_c_18_P,MS. Syr. c. 18 (P)/2
Bodl. MS syr. c 18 (P)/1,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-c/ms-syr-c-18-p-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_223#MS_Syr_c_18_P,MS. Syr. c. 18 (P)/1
Bodl. MS syr. c 16 (P)/2,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-c/ms-syr-c-16-p-2.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_221#MS_Syr_c_16_P,MS. Syr. c. 16 (P)/2
Bodl. MS syr. c 17 (P)/2,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-c/ms-syr-c-17-p-2.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_222#MS_Syr_c_17_P,MS. Syr. c. 17 (P)/2
Bodl. MS syr. c 15 (P)/1,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-c/ms-syr-c-15-p-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_220#MS_Syr_c_15_P,MS. Syr. c. 15 (P)/1
Bodl. MS syr. d 33 (P)/2,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-d/ms-syr-d-33-p-2.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_225#MS_Syr_d_33_P,MS. Syr. d. 33 (P)/2
Bodl. MS syr. d 32 (P)/2,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-d/ms-syr-d-32-p-2.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_224#MS_Syr_d_32_P,MS. Syr. d. 32 (P)/2
Bodl. MS syr. d 32 (P)/1,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-d/ms-syr-d-32-p-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_224#MS_Syr_d_32_P,MS. Syr. d. 32 (P)/1
Bodl. MS syr. d 33 (P)/1,https://princetongenizalab.github.io/iiif/bodleian/ms-syr-d/ms-syr-d-33-p-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_225#MS_Syr_d_33_P,MS. Syr. d. 33 (P)/1
Bodl. MS heb. g 6/26,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-26.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/26
Bodl. MS heb. g 8/38,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-38.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part4,MS. Heb. g. 8/38
Bodl. MS heb. g 2/65,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-65.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/65
