shelfmark,iiif_url,url,orig_shelfmark
JRL SERIES Bible Gaster 26,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-26.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+26%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 26
JRL SERIES Bible Gaster 71,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-71.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+71%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 71
JRL SERIES Bible Gaster 67,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-67.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+67%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 67
JRL SERIES Bible Gaster 1,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-1.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+1%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 1
JRL SERIES Bible Gaster 30,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-30.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+30%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 30
JRL SERIES Bible Gaster 47,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-47.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+47%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 47
JRL SERIES Bible Gaster 10,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-10.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+10%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 10
JRL SERIES Bible Gaster 51,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-51.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+51%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 51
JRL SERIES Bible Gaster 50,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-50.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+50%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 50
JRL SERIES Bible Gaster 11,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-11.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+11%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 11
JRL SERIES Bible Gaster 46,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-46.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+46%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 46
JRL SERIES Bible Gaster 31,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-31.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+31%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 31
JRL SERIES Bible Gaster 66,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-66.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+66%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 66
JRL SERIES Bible Gaster 70,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-70.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+70%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 70
JRL SERIES Bible Gaster 27,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-27.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+27%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 27
JRL SERIES Bible Gaster 82,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-82.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+82%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 82
JRL SERIES Bible Gaster 41,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-41.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+41%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 41
JRL SERIES Bible Gaster 16,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-16.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+16%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 16
JRL SERIES Bible Gaster 57,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-57.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+57%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 57
JRL SERIES Bible Gaster 20,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-20.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+20%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 20
JRL SERIES Bible Gaster 77,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-77.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+77%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 77
JRL SERIES Bible Gaster 61,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-61.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+61%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 61
JRL SERIES Bible Gaster 7,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-7.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+7%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 7
JRL SERIES Bible Gaster 36,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-36.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+36%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 36
JRL SERIES Bible Gaster 37,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-37.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+37%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 37
JRL SERIES Bible Gaster 6,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-6.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+6%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 6
JRL SERIES Bible Gaster 60,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-60.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+60%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 60
JRL SERIES Bible Gaster 76,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-76.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+76%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 76
JRL SERIES Bible Gaster 21,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-21.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+21%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 21
JRL SERIES Bible Gaster 56,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-56.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+56%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 56
JRL SERIES Bible Gaster 17,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-17.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+17%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 17
JRL SERIES Bible Gaster 40,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-40.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+40%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 40
JRL SERIES Bible Gaster 83,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-83.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+83%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 83
JRL SERIES Bible Gaster 55,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-55.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+55%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 55
JRL SERIES Bible Gaster 14,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-14.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+14%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 14
JRL SERIES Bible Gaster 43,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-43.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+43%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 43
JRL SERIES Bible Gaster 9,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-9.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+9%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 9
JRL SERIES Bible Gaster 38,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-38.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+38%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 38
JRL SERIES Bible Gaster 80,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-80.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+80%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 80
JRL SERIES Bible Gaster 79,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-79.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+79%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 79
JRL SERIES Bible Gaster 59,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-59.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+59%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 59
JRL SERIES Bible Gaster 18,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-18.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+18%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 18
JRL SERIES Bible Gaster 34,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-34.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+34%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 34
JRL SERIES Bible Gaster 5,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-5.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+5%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 5
JRL SERIES Bible Gaster 63,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-63.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+63%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 63
JRL SERIES Bible Gaster 75,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-75.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+75%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 75
JRL SERIES Bible Gaster 22,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-22.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+22%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 22
JRL SERIES Bible Gaster 23,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-23.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+23%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 23
JRL SERIES Bible Gaster 74,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-74.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+74%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 74
JRL SERIES Bible Gaster 62,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-62.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+62%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 62
JRL SERIES Bible Gaster 4,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-4.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+4%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 4
JRL SERIES Bible Gaster 35,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-35.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+35%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 35
JRL SERIES Bible Gaster 19,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-19.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+19%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 19
JRL SERIES Bible Gaster 58,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-58.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+58%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 58
JRL SERIES Bible Gaster 78,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-78.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+78%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 78
JRL SERIES Bible Gaster 81,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-81.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+81%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 81
JRL SERIES Bible Gaster 39,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-39.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+39%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 39
JRL SERIES Bible Gaster 8,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-8.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+8%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 8
JRL SERIES Bible Gaster 42,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-42.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+42%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 42
JRL SERIES Bible Gaster 15,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-15.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+15%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 15
JRL SERIES Bible Gaster 54,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-54.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+54%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 54
JRL SERIES Bible Gaster 49,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-49.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+49%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 49
JRL SERIES Bible Gaster 32,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-32.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+32%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 32
JRL SERIES Bible Gaster 3,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-3.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+3%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 3
